count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
12/05/2026,12/05/2026,Nouveaux,70.0,0.0,18,,,2.0,342.0,,Ituri,MVE_SitRep_007_2026-05-22,TRUE
12/05/2026,12/05/2026,Nouveaux,70.0,0.0,19,,,3.0,342.0,,,MVE_SitRep_007_2026-05-22,TRUE
12/05/2026,12/05/2026,Nouveaux,0.0,,0,,,0.0,48.0,Bambu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,41.0,,6,,,1.0,87.0,Bunia,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,,,0,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,,,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,,,0,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,1.0,,1,,,0.0,,Kilo,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,,,1,,,1.0,,Miti Murhesa,Sud-Kivu,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,5.0,,1,,,0.0,0.0,Mongbwalu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,1.0,,1,,,0.0,,Nizi,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,9.0,,2,,,0.0,207.0,Nyankunde,Ituri,MVE_SitRep_007_2026-05-22,FALSE
12/05/2026,12/05/2026,Nouveaux,14.0,,7,,,1.0,0.0,Rwampara,Ituri,MVE_SitRep_007_2026-05-22,FALSE
01/04/2026,14/05/2026,Cumules,246,,8,80,,4,82,,Ituri,MVE_SitRep_001_2026-05-16,TRUE
,18/05/2026,Cumules,61.0,,6,18.0,,,127.0,Bunia,Ituri,MVE_SitRep_004_2026-05-20,FALSE
,18/05/2026,Cumules,1.0,,1,0.0,,,,Butembo,Nord-Kivu,MVE_SitRep_004_2026-05-20,FALSE
,18/05/2026,Cumules,1.0,,1,0.0,,,,Goma,Nord-Kivu,MVE_SitRep_004_2026-05-20,FALSE
,18/05/2026,Cumules,1.0,,1,0.0,,,,Katwa,Nord-Kivu,MVE_SitRep_004_2026-05-20,FALSE
,18/05/2026,Cumules,302.0,,1,74.0,,,161.0,Mongbwalu,Ituri,MVE_SitRep_004_2026-05-20,FALSE
,18/05/2026,Cumules,14.0,,4,1.0,,,133.0,Nyankunde,Ituri,MVE_SitRep_004_2026-05-20,FALSE
,18/05/2026,Cumules,136.0,,19,38.0,,,120.0,Rwampara,Ituri,MVE_SitRep_004_2026-05-20,FALSE
,18/05/2026,Cumules,516.0,,33,131.0,,,541.0,Total,,MVE_SitRep_004_2026-05-20,TRUE
,19/05/2026,Cumules,90.0,,6,23.0,,,203.0,Bunia,Ituri,MVE_SitRep_005_2026-05-20,FALSE
,19/05/2026,Cumules,1.0,,1,0.0,,,,Butembo,Nord-Kivu,MVE_SitRep_005_2026-05-20,FALSE
,19/05/2026,Cumules,1.0,,1,0.0,,,,Goma,Nord-Kivu,MVE_SitRep_005_2026-05-20,FALSE
,19/05/2026,Cumules,1.0,,1,0.0,,,,Katwa,Nord-Kivu,MVE_SitRep_005_2026-05-20,FALSE
,19/05/2026,Cumules,309.0,,13,77.0,,,176.0,Mongbwalu,Ituri,MVE_SitRep_005_2026-05-20,FALSE
,19/05/2026,Cumules,19.0,,4,5.0,,,133.0,Nyankunde,Ituri,MVE_SitRep_005_2026-05-20,FALSE
,19/05/2026,Cumules,154.0,,25,43.0,,,335.0,Rwampara,Ituri,MVE_SitRep_005_2026-05-20,FALSE
,19/05/2026,Cumules,575.0,,51,148.0,,,847.0,Total,,MVE_SitRep_005_2026-05-20,TRUE
20/05/2026,20/05/2026,Nouveaux,,,18,,,,,,Ituri,MVE_SitRep_004_2026-05-20,TRUE
20/05/2026,20/05/2026,Nouveaux,,,2,,,,,,Nord-Kivu,MVE_SitRep_004_2026-05-20,TRUE
20/05/2026,20/05/2026,Nouveaux,59.0,0.0,16,,,0.0,306.0,,Ituri,MVE_SitRep_005_2026-05-20,TRUE
20/05/2026,20/05/2026,Nouveaux,0.0,0.0,0,,,0.0,0.0,,Nord-Kivu,MVE_SitRep_005_2026-05-20,TRUE
20/05/2026,20/05/2026,Nouveaux,29.0,,0,,,0.0,76.0,Bunia,Ituri,MVE_SitRep_005_2026-05-20,FALSE
20/05/2026,20/05/2026,Nouveaux,,,0,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_005_2026-05-20,FALSE
20/05/2026,20/05/2026,Nouveaux,,,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_005_2026-05-20,FALSE
20/05/2026,20/05/2026,Nouveaux,,,0,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_005_2026-05-20,FALSE
20/05/2026,20/05/2026,Nouveaux,7.0,,12,,,0.0,15.0,Mongbwalu,Ituri,MVE_SitRep_005_2026-05-20,FALSE
20/05/2026,20/05/2026,Nouveaux,5.0,,0,,,0.0,0.0,Nyankunde,Ituri,MVE_SitRep_005_2026-05-20,FALSE
20/05/2026,20/05/2026,Nouveaux,18.0,,4,,,0.0,215.0,Rwampara,Ituri,MVE_SitRep_005_2026-05-20,FALSE
20/05/2026,20/05/2026,Nouveaux,59.0,0.0,16,,,0.0,306.0,Total,,MVE_SitRep_005_2026-05-20,TRUE
,20/05/2026,Cumules,671.0,,61,160.0,,,1261.0,,,MVE_SitRep_006_2026-05-21,TRUE
,20/05/2026,Cumules,2.0,,1,0.0,,,128.0,Bambu,Ituri,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,125.0,,11,31.0,,,203.0,Bunia,Ituri,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,7.0,,1,0.0,,,,Butembo,Nord-Kivu,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,0.0,,4,0.0,,,0.0,Echantillons sans fiche,Ituri,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,0.0,,1,0.0,,,,Goma,Nord-Kivu,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,13.0,,1,0.0,,,,Katwa,Nord-Kivu,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,317.0,,13,80.0,,,176.0,Mongbwalu,Ituri,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,28.0,,5,5.0,,,133.0,Nyankunde,Ituri,MVE_SitRep_006_2026-05-21,FALSE
,20/05/2026,Cumules,179.0,,24,44.0,,,621.0,Rwampara,Ituri,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,78.0,0.0,12,,,0.0,414.0,,Ituri,MVE_SitRep_006_2026-05-21,TRUE
21/05/2026,21/05/2026,Nouveaux,0.0,0.0,1,,,0.0,0.0,,Nord-Kivu,MVE_SitRep_006_2026-05-21,TRUE
21/05/2026,21/05/2026,Nouveaux,78.0,0.0,13,,,0.0,414.0,,,MVE_SitRep_006_2026-05-21,TRUE
21/05/2026,21/05/2026,Nouveaux,1.0,0.0,1,,,0.0,128.0,Bambu,Ituri,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,35.0,0.0,5,,,0.0,0.0,Bunia,Ituri,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,,0.0,0,,,0.0,,Butembo,Nord-Kivu,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,,0.0,0,,,0.0,,Goma,Nord-Kivu,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,,0.0,1,,,0.0,,Katwa,Nord-Kivu,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,8.0,0.0,0,,,0.0,0.0,Mongbwalu,Ituri,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,9.0,0.0,3,,,0.0,0.0,Nyankunde,Ituri,MVE_SitRep_006_2026-05-21,FALSE
21/05/2026,21/05/2026,Nouveaux,25.0,0.0,3,,,0.0,286.0,Rwampara,Ituri,MVE_SitRep_006_2026-05-21,FALSE
,21/05/2026,Cumules,746.0,,83,,176.0,,1603.0,,,MVE_SitRep_007_2026-05-22,TRUE
,21/05/2026,Cumules,2.0,,1,,0.0,,176.0,Bambu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,166.0,,15,,34.0,,290.0,Bunia,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,7.0,,1,,0.0,,,Butembo,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,0.0,,4,,0.0,,0.0,Echantillons sans fiche,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,0.0,,1,,0.0,,,Goma,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,13.0,,2,,0.0,,,Katwa,Nord-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,1.0,,1,,0.0,,,Kilo Mission,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,1.0,,1,,0.0,,,Miti Murhesa,Sud-Kivu,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,322.0,,14,,84.0,,176.0,Mongbwalu,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,3.0,,1,,1.0,,,Nizi,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,38.0,,11,,6.0,,340.0,Nyankunde,Ituri,MVE_SitRep_007_2026-05-22,FALSE
,21/05/2026,Cumules,193.0,,31,,51.0,,621.0,Rwampara,Ituri,MVE_SitRep_007_2026-05-22,FALSE
22/05/2026,22/05/2026,Nouveaux,70.0,0.0,18,,,2.0,342.0,,Ituri,MVE_SitRep_008_2026-05-23,TRUE
22/05/2026,22/05/2026,Nouveaux,0.0,0.0,1,,,1.0,0.0,,Sud-Kivu,MVE_SitRep_008_2026-05-23,TRUE
22/05/2026,22/05/2026,Nouveaux,2.0,,0,,,0.0,48.0,Bambu,Ituri,MVE_SitRep_008_2026-05-23,FALSE
